,commands
77,"Hey son, would you have gotten any money for being class president?"
78,Would you have to do extra work?
79,"And is this Martin guy going to get to do anything neat, like throw out the first ball at the world series, huh?"
80,"Well, no."
81,"So, let the baby have his bottle, huh? That's my motto."
82,"Hey! Thanks, monkey-man."
83,Holy-moly... talk about parenting!
84,"Sleep well, Maggie. Ah, three for three."
85,"Homie, did you straighten everything out...?"
86,"Up... up... up... up... up... up. Don't say anything, Marge. Let's just go to bed. I'm on the biggest roll of my life."
87,Mmm... hors doovers.
88,Homer! You promised!
89,I promised I wouldn't eat? Never! You lie!
90,please. We've never thrown a party. Now we're gonna pay back all the friends who've invited us to their homes.
91,"But Mom, I want to hear the witty banter of sophisticated adults."
92,"Yeah, you can't have any fun in bed."
93,"Oh son, when you're older, you'll know better."
94,"Hmmm. Oh, baby! Mmmm. Yeah."
95,Oh! They're here! How does everything look?
96,How do I look?
97,Do we have enough glasses?
98,Do we have enough gag ice cubs?
99,Homer! Homer! Put a record on!
100,What are all our friends names again?
101,Children! Go!
102,"Hey, anybody mind if I serve as bartender? You know, I have a Ph.D in Mixology."
103,College boy.
104,"Hey, Homer! Care to try some of my Flanders Planters punch?"
105,Why not? I paid for it.
106,"Hey, Flanders, next time why don't you put a little alcohol in it?"
107,"Au contraire, Simpson! It has three shots of rum, a jigger of bourbon and just little dab-a-roo of creme de cassis for flavor."
108,Really? Well I do have a warm sense of well-being and I seem to be ssslurring my shpeech... you're right! Give me another.
109,"Now,  go easy on the al-ky-hol. Remember last year at the Winfield's party when you threw up in the laundry hamper?"
110,"Hi! You're Homer's sister-in-law, right? I remember you, but I don't remember you being so beau --tiful."
111,Ow! Hey! Jeez!
112,Is that a new kind of Mace? It's really painful.
113,"Oh, Dr. Hibbert. Enjoying the party?"
114,"Uh, no, not really. Someone seems to have slipped one of those novelty ice cubes with a fake fly in my drink."
115,It was me! You fell for it!
116,"these novelty ice cubes are often made from highly toxic chemicals. Ironically, a real fly would have been much more sanitary."
117,Please Dad.
118,You should see the look on your face. It's priceless.
119,Bart! Come over here.
120,"You little monkey... you're a little monkey, aren't you?"
121,Yes sir.
122,do that thing you do that's so cute.
123,That thing you know how to do.
124,Go to bed.
125,"Hey, everybody! Look, I'm the funniest guy in the world!"
126,"Oh,  you're the king!"
127,"I've been wantin' to tell you off for years, but I've never had the nerve."
128,I don't know you. My wife and your wife are friends. We met just three hours ago.
129,You stink! You and your whole lousy operation stinks! I quit!
130,"Uh, gee  don't quit..."
131,All right then.
132,Could you... give me a handful of peanuts... Maude?
133,Oh sure.
134,Not those peanuts. The ones at the bottom.
135,"Hey, thanks for invitin' me. I had a wonderful time."
136,I must apologize for my husband.
137,"If you want him to live through the night, I suggest you roll him onto his side."
138,"Hmmm. thank you. I will, Dr. Hibbert. Thanks for coming."
139,"Remember, I said if."
140,I have never been so embarrassed in my life.
141,Why? What'd you do?
142,Come here!
143,Where-where are we going?
144,"I want to make sure the kids don't hear. When I was young, I always hated knowing my parents were fighting."
145,They're fighting in the car again.
146,That music always sends a chill down my spine.
147,do you remember the way you acted at the party last night?
148,The way I acted?
149,So I said: I must get out of these wet clothes and into a dry martini.
150,Good lord! There's a fly in my drink!
151,I put it there.
152,You did?
153,I slipped it into your glass as a gag.
154,Pure hilarity!
155,Pure Homer!
156,I pronounce it to be the most whimsical jape of the season!
157,"I like to think that I'm a patient, tolerant woman, and that there was no line you could cross that could make me stop loving you. But last night, you didn't just cross that line, you threw up on it!"
158,"I'm sorry, honey. Can't we just forget it and go to church."
159,I'm going to church alone today. You're going to stay here and explain to Bart why you scarred him for life.
160,"No, I didn't... I... Oh, you mean inside, don't you?"
161,About last night... you might have noticed Daddy acting a little strange and you probably don't understand why.
162,I understand why. You were wasted.
163,I admit it. I didn't know when to say when. I'm sorry it happened and I just hope you didn't lose a lot of respect for me.
164,"Dad, I have as much respect for you as I ever did or ever will."
165,"Now before I give you all a sneak preview of next week's sermon, I have some announcements to make. We have some new pamphlets available in our church newsrack including ""Bible Bafflers"", ""Satan's Boners,"" ""Good Grief! More Satan's Boners"" and, for the teens, ""It's Not Cool To Fry In Hell."""
166,I'm sorry. The Lord and I can't compete with the squeaking of Homer Simpson's shoes. Why don't we just put everything on hold until he takes a seat?
167,"Sorry, Reverend."
168,"Sit down, Homer."
169,Mrs. Lovejoy and myself will be holding our third annual marriage retreat next weekend at Catfish Lake. It's psychological counseling for couples whose marriages are hanging by a thread...
170,... or those just in need of a tune-up.
171,"Now if you wish to participate, please sign up on your way out after the service is over."
172,Will the Simpsons be attending our little retreat?
173,"Oh, well, it's very tempting. Really a wonderful idea."
174,Marge! What are you doing? Are you insane?!
175,We'll be there!
176,"Marriage encounter weekend, here I come!"
177,Now you wanna go?
178,They're holding it at Catfish Lake. They couldn't call it Catfish Lake if it didn't have a catfish in it.
179,We're going to this retreat to give our marriage a tune-up and that's all. No fishing.
180,"Oh, that must be the babysitter."
181,Hello. I'm Mrs. Simpson.
182,Simpson... Simpson...
183,"Come back for more, eh?"
184,Oh my. Where are we supposed to get a sitter on such short notice?
185,"Oh dear. If we can't find a babysitter, we can't go. What a kick in the teeth."
186,What do you need a babysitter for? I'm almost ten and a half.
187,Mom! You wouldn't dare.
188,"Don't take that tone with me, young lady, or I'll give you a taste of the back of me hand."
189,"No, you don't!"
190,Huh... who?... what?
191,could you do something?
192,I can dress myself.
193,"Well, I was wondering. Do you think you could babysit the kids this weekend? I wouldn't ask, except I'm desperate."
194,"Oh sure. Last resort... Old  the feeb. The guy who can't be counted on for nothing, no how, dagnabit. Everyone's agin me. I'll do it."
195,just puttin' a few last things in the trunk.
196,"Now, if Maggie runs a fever, you call this number. If she sticks her finger in an electrical socket, call this number. And if she drinks pine cleanser, call this..."
197,Just give me the list. I can read.
198,"All right. All right. Goodbye, children. And behave yourselves."
199,Call this number if Grampa falls in the bathtub.
200,I heard that.
201,"Mom was in such a hurry, she forgot to give you this. It's a list of the things Lisa and I can and can't do."
202,Uh huh .. Uh-huh... You're allowed smoke cigars?
203,"Hmmm, bait."
204,"Whoa, better get some gas."
205,Fill 'er up. I guess I'll go and stretch my legs.
206,Where ya headed?
207,Catfish Lake.
208,"Oh, after General Sherman, are ya?"
209,"Wait, wait a minute... wait a minute. Who's General Sherman?"
210,He's only the biggest catfish in these parts...
211,Oh yeah.
212,... they say he weighs upwards of five hundred pounds.
213,"Whoa, who says that?"
214,They do.
215,"Now, that there's the only known picture of the General. Can't see what he is, exactly. He's freakishly big, though."
216,Hmmmm. Gentlemen: I am going to catch General Sherman!
217,"After the supermarket, we'll go to the video store, grab a Krusty Burger and head for the arcade."
218,Grampa's a kindly old man who trusts us. Are you sure it's right to take advantage of him?
219,"Lis, in these crazy, topsy-turvy times, who's to say what's right or wrong? But right now my gut's telling me... Bleed Gramps dry."
220,"Ah, Mr. and Mrs. Simpson. Welcome!"
221,"Hello, Reverend. We're glad we could come. Oh, hello Helen."
222,Hel-lo Marge!
223,"Why, Homer Simpson! Here to give your marriage a little spit shine?"
224,"None of your business, Flanders."
225,Uh say... uh... Reverend... are we gonna get a chance to do any fishing?
226,"Oh, I'm afraid not. A marriage can't be reconciled in a few hours, Homer. It takes a whole weekend to do that."
227,We must bait our hooks with honesty. That way a happy marriage won't be the one that got away.
228,I see. I also understand bowling expressions.
229,"Ah, three couples... our best turnout yet. Why don't we go around the room and everyone can introduce themselves and tell us a little bit about why they're here. John... Gloria?"
230,"My name's Gloria. I'm here because Johnny boy hasn't been able to cut it, manwise, for some time. Not that I'd want his odor of gin and sour defeat pressed against me."
231,"That's enough, Gloria!"
232,"Thank you, Gloria. John, why don't you tell us a little about why you're here?"
233,"She never cooks, she keeps a filthy house and she talks profanely. She's the Queen of the Harpies."
234,"No, I'm not!"
235,Queen of the Harpies!
236,"Here's your crown, your Majesty."
237,"Get away from me, swine."
238,"You've come to the right place. First, I want you to look into each other's eyes."
239,Your eyes? I'd forgotten how beautiful they are.
240,Let's never fight again.
241,We were fools to argue.
242,Let's not talk about that.
243,Let's not talk at all.
244,"Remember my saving your lives and bringing you happiness when we pass the collection plate next week. All right. Ned, Maude, what brings you here?"
245,"Go on, Neddie."
246,"Sometimes Maude, God bless her, she underlines passages in my Bible because she can't find hers."
247,Lucky you don't keep guns in the house.
248,why are you here?
249,"Ohhh, because I got drunk and looked down her dress."
250,"No, no, Homer. Marge is going to tell us all your faults. Why don't you tell us about hers?"
251,She's perfect.
252,"Come on, Homer. What are her faults?"
253,"Well, sometimes that can be annoying."
254,"Oh, Homer."
255,"Now, Marge. Don't interrupt. You'll get your turn."
256,I'm done.
257,Okay. Marge?
258,"Well, it's not that I don't love the guy. I'm always sticking up for him. It's just that he's so self-centered."
259,"Now, Homer."
260,"He forgets birthdays, anniversaries, holidays -- both religious and secular -- he chews with his mouth open, he gambles, he hangs out at a seedy bar with bums and lowlifes..."
261,It's true. It's all true.
262,don't interrupt.
263,"He blows his nose on the towels, and puts them back in the middle..."
264,I only did that a couple of times.
265,Half a gallon of chocolate.
266,Half a gallon of chocolate brownie fudge.
267,"Half a gallon of chocolate, chocolate, chocolate, chocolate chip."
268,Did your Mom really write that shopping list?
269,what a question?
270,"What's next, Lis?"
271,Sprinkles and syrup.
272,"Hey, Grampa. Aisle six and step on it."
273,"Well, all right, but put out that cigar."
274,"... He drinks out of the carton. He never changes the baby. When he goes to sleep, he makes chewing noises and when he wakes up he makes honking noises. Oh... oh... and he scratches himself with his keys. I guess that's it. Oh no. Wait. He kicks me in his sleep and his toenails are too long and yellow. That's all I can think of right now. I guess you're all tired and I want to thank you for letting me get some things off my chest."
275,"Well, we've missed the luau. What say we call it a night?"
276,"I don't want to hear it, McBain. That cannon of yours is against regulations. In this department we go by the book."
277,"You know, kids, it's gettin' pretty late."
278,"Yeah, you should go to bed, Grampa. We've had a big day."
279,It's no use kidding myself. I'm having an ethical crisis.
280,"Out at five, catch General Sherman at five-thirty, clean him at six, eat him at six-thirty, back in bed by seven with no incriminating evidence. . The perfect crime."
281,"you're sneaking out to go fishing? I can't believe your selfishness. You can go fishing anytime, but we're here trying to save our marriage. You're thinking about fishing, even when I'm talking... right now. Right?"
282,Would this be a good time to be honest?
283,"You're right, I am. Help me, Marge. What do I do to be a good guy?"
284,Get back in bed.
285,All right. But I can't sleep. Can I take a walk?
286,Gotta be a good husband... Gotta be a good husband... Gotta be a good husband.
287,"Hey, kid! You forgot your... WHOA!"
288,"Go ahead, General Sherman! Waste your strength, you big ugly catfish. I gotta skillet and a stick of butter with your name on it."
289,Yes. Ten please.
290,Hey  top me off.
291,Are you sure your ma lets you kids drink coffee?
292,"For the last time, yes!"
293,Good! Give up!
294,"Hey, Milhouse. Big blowout at Casa de Simpson. The only adult is frail and old."
295,"Bart's joint. Uh, twoish. Be there or be square."
296,"Tell my friends? All right, but I've got some pretty funky friends."
297,All right! I get out at noon and I'm already invited to a party.
298,"Now, this is a trust exercise. You fall backwards and rely on your spouse to catch you."
299,Do I have to do this?
300,"No. Even if your husband were here, I wouldn't recommend it.  as a trained marriage counselor, this is the first instance where I've ever told one partner that they were 100 percent right. It's all his fault, and I'm willing to put that in a certificate you can frame."
301,Over there / Send the word / Send the word / Over there.
302,That the Yanks are comin'...
303,"Okay, fish, you're probably wondering why I'm still here. Catching you will make me the most famous fisherman there is, right up there with... that... the a... bald guy on that cable fishing show."
304,Whoa! Holy mackerel!
305,"good to see you, pal. What's happening, man?"
306,"Cherry party, Bart. Any chicks over eight?"
307,"Not yet, but the afternoon is young."
308,what's wrong?
309,Isn't it obvious? We've degraded ourselves and set back the children's rights movement for decades to come.
310,"You're great at a party, Lisa. Really great."
311,"Hey you, no, shut that door! Stop it! Put that away! No, stop, oh!"
312,Haw haw haw!
313,"You young hellion, do you want me to take off my belt?"
314,All right. I'll show you.
315,Haw! Haw! Haw!
316,Doggone it!
317,"I love you, but I must kill you."
318,"Yeah, take care, man. Hey, thanks for coming. Hey, nice tie, Nelson.."
319,"Ah, thanks, it's your dad's."
320,"I tried to be a good baby-sitter, but I failed! I'm a feeb... a useless old... worn-out..."
321,I have this strong unpleasant feeling I've never had before.
322,"It's called remorse, you vile burlesque of irrepressible youth."
323,"Well, how do you make this feeling go away?"
324,You grab a bucket and a brush and clean harder and faster than you ever have before.
325,I AM THE CHAMPIONS / I AM THE CHAMPIONS / NO TIME FOR LOSERS / CAUSE I AM THE CHAMPIONS / OF THE WORLLLLD!
326,"Uh, oh."
327,"Hi, honey. Uh, oh. How's the marriage retreat going?"
328,"We came to this retreat because I thought our marriage was in trouble, but I never for a minute thought it was in this much trouble.  how can you expect me to believe...."
329,you don't know what this fish means. This fish represents a better life for both of us. This fish makes me a champion and a hero.
330,To who?
331,To those weirdos in the worm store.
332,All this fish represents is just how selfish you are.
333,"Well, if that's the way you feel... I'll throw it back."
334,"Oh yeah, sure."
335,"Wow, I did it! I gave up fame and breakfast for my marriage. I fought it for six hours. She says one word and I toss it back. And you're telling me our marriage is in trouble? Come here, baby."
336,"Ohhh, Homer."
337,We're back!
338,How's your marriage?
339,Same as usual. Perfectomundo.
340,"Oh my, the house looks wonderful.  what's your secret?"
341,"Pretending to cry. That's right, you heard me. Pretending to cry. I can turn it on and off like a fawcet. Boo-hoo, Oh, I'm crying, I'm so sad."
342,"Way to go, Grampa."
343,I'll never trust another old person.
344,I fooled you. So long suckers. Hee hee hee.
345,"Yup. General Sherman. They say he's 500 pounds of bottom-dwelling fury, don't you know? No one knows how old he is, but if you ask me, and most people do, he's a hundred years if he's a day."
346,"And uh, no one's ever caught him?"
347,"Well, one fella came close. Went by the name of Homer. Seven feet tall he was, with arms like tree trunks. And his eyes were like steel, cold and hard. Had a shock of hair, red, like the fires of hell."
348,"Hurry, Mom! If we don't get to the convention soon, all the good comics will be gone."
349,Wow! Number nine! That's before Fallout Boy became his ward.
350,What do you care about good comics? All you ever buy is Casper the Wimpy Ghost.
351,"I think it's sad that you equate friendliness from wimpiness, and I hope it will keep you from ever achieving true popularity."
352,"Well, you know what I think? I think Casper's the ghost of Richie Rich."
353,"Hey, they do look alike!"
354,I wonder how Richie died?
355,"Perhaps he realized how hollow the pursuit of money is, and took his own life."
356,"Kids, could you lighten up a little?"
357,"Now, Radioactive Man: He rules! Never punches a bad guy without saying something cool."
358,He's no wittier than the next superhero.
359,"Oh, yeah? Look. He knocks a guy into the sun and says, ""Hot enough for ya?"""
360,I stand corrected.
361,We're here!
362,Too bad we didn't come dressed as popular cartoon characters.
363,This looks like a discount for...
364,Who are you supposed to be?
365,I'm Bartman!
366,Never heard of him. Full price.
367,Lousy rip off...
368,"Is uh, this on?... Ahem, young people of Springfield: As your Mayor, I'd like to welcome you to our annual funny book convention, and thank you for pumping almost three hundred dollars into the local economy."
369,Your youthful high spirits have imparted a glow to this old war-horse. You might say I feel like Radiation Man!
370,"That's Radioactive Man, jerk!"
371,"I stand corrected... Well, have fun and be sure to clear out by six for the Shriners. Get that punk's name. No one makes a fool out of Diamond Joe Quimby."
372,"Excuse me, sir. Has anyone turned in a left Vulcan ear?"
373,"Let's see, we've got a utility belt, a couple of tricorders, a light saber... Sorry, kid."
374,"Hey, Bart-dude!"
375,"Hey, Otto-man! Oooh, what's that?"
376,"My very own idea for a comic book, little man. It's about a dude who drives a school bus by day, but by night, fights vampires in a post-apocalyptic warzone!"
377,"C'mon, Bart. We're going to see Buddy Hodges."
378,The guy who played Fallout Boy on TV?
379,"Wow, I guess he wasn't killed in Vietnam."
380,Aaahh... These Laramie cigarettes give me the steady nerves I need to combat evil.
381,"Gee whillikers, Radioactive Man. Wisht I was old enough to smoke Laramies."
382,"Sorry, Fallout Boy, not until you're sixteen."
383,Look out!
384,Will Radioactive Man act in time to save the earth?
385,"Well, wasn't that great?... Y'know, kids, I'm sure we'd all like to remember actor Dirk Richter for his portrayal of Radioactive Man, and not the sordid details of his final years, so let's keep the questions tasteful, okay? Now how about a big welcome for Buddy ""Fallout Boy"" Hodges!"
386,Any questions?
387,"When Radioactive Man got injected with shrinking serum in issue two-thirty-four, how come his costume shrinks, too?"
388,"I am sure I don't know. But I did just finish playing Rum Tum Tugger in the second national touring company of ""Cats"" -- anybody see it?"
389,"Ooh. Ooh. Ooh. Ooh. Over here, Fallout Boy! Oh, oh, me... me... me... me, me."
390,"Yes, you, the masked boy."
391,Do you think the ghost of Dirk Richter haunts the bordello where his bullet-riddled body was found?
392,Dirk Richter was a beautiful man. Can't you little vultures leave him alone?
393,"Hey, Radioactive Man number seventy-two! It's the imaginary tale where Radioactive Man marries Larva Girl."
394,Tell you what. I'll show you something very special if you promise to put your grubby little hands behind your back and keep 'em there.
395,Wow. Radioactive Man Number One.
396,None other.
397,I bet it's worth a million bucks!
398,"It is, my lad. But I'll let you have it for a hundred because you remind me of me."
399,All I got is thirty.
400,Then you cannot have it.
401,"But I must. Until this moment, I never knew why God put me on this earth, but now I know... to buy that comic book."
402,"Your emotion is out of place here, son."
403,"So, did you kids have fun?"
404,"Yeah, Mom! Guess what? For a dollar a man sold me thirty-five Caspers and a dozen Lois Lanes."
405,I never knew what Superman saw in her. Give me Wonder Woman! And that golden lariat. She can tie me up any time.
406,"I was just kidding, Marge. Hey, what does everyone say to dinner at Krusty Burger? My treat!"
407,"All right, Homer. Whoa, you really are a sport, Dad, taking us out to a fine restaurant like Krusty Burger!"
408,"All right, what are you getting at?"
409,I need a hundred dollars for a comic book.
410,"A hundred bucks?! For a comic book? Who drew it, Micha-ma-langelo?"
411,"Oh please, Dad. I want this more than anything in the world."
412,"Well, t.s."
413,"No! Now, look, son, we all know that usually when you bug me like this, I give in, so I'm not mad at you for trying. It shows you've been paying attention. But we all know I'm not gonna give you a hundred dollars. Now are you gonna stop bugging me?"
414,Are you?
415,"Hee hee, I win! In your face! Yeah! How do you like them apples? Woo hoo hoo!"
416,"Don't gloat, Homer. You know,  when I was your age, the one thing I wanted more than anything in the world was a Child-sized Electric Lightbulb Oven. My parents wouldn't give me the money, so I went to my sisters, Patty and Selma..."
417,We'll give you half our allowance.
418,Uh-huh. But you have to be our slave.
419,This gives us a lot more free time.
420,Uh-huh. Let's take up smoking.
421,"For months, I worked and worked, while my sisters smoked and smoked..."
422,"Venus... Oh, Venus..."
423,We want those dress-shields hand-washed and drip-dried.
424,Haw haw!
425,Here we are.
426,"But the big day finally came. And because I'd worked for it, all those lightbulb-warmed treats always tasted extra-good."
427,So maybe a part-time job is the answer.
428,"Aw, Mom, I couldn't ask you to do that. You're already taking care of Maggie, and Lisa is such a handful --"
429,"She means you should get a job, stupid."
430,"Get a job! Were they serious? I didn't realize it at the time, but a little piece of my childhood had slipped away... forever."
431,Bart! What are you staring at?
432,Uh... nothing.
433,"He didn't say it, and neither did I, but at that moment my dad and I were closer than we ever..."
434,Bart! Stop it!
435,I NEED SOME MONEY / A LOT OF MONEY... AHH
436,Empty bottles... empty bottles...
437,"Hm... well, it's practically empty."
438,"Here you go, Apu."
439,"Ooh, very good. Would you like the deposit defrayed from the cost of a Jumbo Cherry Squishie?"
440,"No, not today. I need the dime."
441,"Oh, it is good to see you are learning a trade."
442,"Americanize this, my good man."
443,Okey dokey.
444,All those coins were only worth three lousy cents?
445,Let the good times roll.
446,"Oh, this is so humiliating... I feel like such a geek."
447,"How's it going, Bart?"
448,"Terrible. Cars slow down to laugh at me, but no one's buying."
449,Maybe you need to play on their sympathies more. Lets see...
450,"Ah ha, now you look pathetic."
451,Lemonade sucks. I need a new product. Let's see... ... Ah!
452,"Form a line, no crowding. Cheap beer and a sympathetic ear... Step right up."
453,"Ah, Bart could you give me one on credit? I'm a little short this week."
454,Beat it.
455,"Say, uh, you got a liquor license there, young fella?"
456,"Ugh, my dog ate it."
457,Gotta have a license to sell beer.
458,Say... writing all those tickets must make you guys thirsty. How about a couple on the house?
459,"We-ell, seeing as how it's a first offense..."
460,I guess we can overlook this.
461,"So long, officers. Uh-oh."
462,"Hey, what's all the --"
463,My beer... my beer... my beautiful beer.
464,The poor boy is so desperate. He wants to earn money to buy a comic book.
465,"A comic book! Oh, my, boys never change. Which one is it, ""Nazi Smasher""?"
466,I don't think so.
467,"Send him over to my house, I got a few chores he could do. He knows how to mix whitewash, don't he?"
468,Mrs. Glick?
469,"Eh, you must be Burt Simpson! Well, you look like you've got a strong young back!"
470,"Would you like something to eat? I've got dried apricots... almond paste, sauerkraut candy."
471,"No, thanks. Who's that?"
472,"Oh, that's my brother, Asa. He was killed in the Great War. Held a grenade too long."
473,"This one's for you Kaiser Bill. Special delivery from Uncle Sam and all the boys in D Company: Yeah! Johnny, Harrison, Brooklyn Bob and Reggie. Yeah, even Reggie. He ain't so stuck-up once you get to know..."
474,"Here, have some ribbon candy. Boys love candy."
475,"No, thanks."
476,Boys love candy.
477,"Oh, yes, ma'am!"
478,"Ugh, I think I'd rather just get to work, Ma'am."
479,"We'll start with a little light yard work. And when you're done, you can have a nice barley pop."
480,I want you to clear out all the weeds. You do know which ones are weeds?
481,All of 'em?
482,Good boy.
483,Now be careful with these. I'll be inside watching my stories.
484,Ow!. . .Ow!
485,"Jack, please. I'm married."
486,That must be what's turning me on.
487,Oh... Stop it... some more.
488,"Filthy, but genuinely arousing."
489,"Merciful heavens, you're bleeding! I'll get the iodine."
490,"Now, don't fidget."
491,"Listen, lady, you don't have to -- YAAAUUUUGGGHHH!"
492,They've never improved on iodine.
493,"Hi, Mom."
494,Did you make any money?
495,"Not yet, but at least I'm in a lot of pain."
496,"Well, I think what you're doing for Mrs. Glick is very nice. The poor old thing doesn't have anybody."
497,There's a reason.
498,"The sludge certainly collects around those downspouts, don't it?"
499,"I'll sludge you, you old bat."
500,"Today, we wash Beulah. Do you know what that is?"
501,"Some old lady thing, nobody's heard about for fifty years?"
502,"No, it was my wedding dress, but then I dyed it black and it became my mourning dress."
503,"Great story, lady."
504,Last night I dreamed I held you in my arms.
505,"No! No, not the iodine! Burn the germs off with a torch, amputate my arm, but not the -- YAAAUUUGGGHHH!"
506,"Well, it's payday. I'll wager you've been looking forward to this."
507,Two quarters.
508,Two quarters?
509,"You deserve every penny. You know, I've told a lot of my girlfriends about you and they have chores too."
510,Two quarters!
511,you didn't say thank you.
512,"Listen lady, I can leave without screaming, and I can leave without saying a bad word, but there's no way that I am saying thank you."
513,"You're welcome. All right then, off you go, to spend it on penny whistles and moon pies."
514,"Moon pies, my butt... Somebody oughta moon pie her..."
515,"What's the problem, boy?"
516,"I've been bustin' my hump all week for that withered old clam, and all I got was fifty cents."
517,"Hey, when I was your age, fifty cents was a lot of money."
518,"Dad, I've done everything I could and I've only got thirty-five bucks. Ugh.. I am through with working. Working is for chumps."
519,"Son, I'm proud of you. I was twice your age before I figured that out."
520,Can you let me have it for forty dollars?
521,Forty bucks? Forget it! You made me get off my stool for that?
522,"It's all I've got. I sold seeds. I visited my aunt in the nursing home. I fished a dime out of the sewer, for God's sake!"
523,No way. What do you want?
524,Can I have it for thirty-five?
525,"No!... No!... Freakin' kids. I do not need this, I've got a Masters degree in folklore and mythology."
526,"Excuse me, do you have the Carl Yastrzemski baseball card from 1973, when he had big sideburns?"
527,"Show me the thirty bucks, because if you ain't got it, I ain't gettin' off the stool."
528,"Wait a minute, Martin. If you, Milhouse and I went in together, we could buy a copy of ""Radioactive Man No. 1"" right now!"
529,"Here you go. ""Muttonchop Yaz."""
530,I don't want it.
531,Freakin' kids!
532,"Look, pal. We've got a hundred bucks and we'd like to buy ""Radioactive Man No. 1"". So why don't you just waddle over there and get it."
533,"Wow! Breathe it in, boys!"
534,This is the stuff dreams are made of.
535,It smells like my grandpa.
536,"Uh-oh, looks like rain. We better get this baby home."
537,Looks like you bought more than you bargained for.
538,My pants... caught on barbed wire... Good Lord Choke... an A-bomb!
539,"I'm becoming radioactive. From this day forward, I shall call myself Radioactive Man."
540,So that's how it happened!
